time,temperature_2m,relative_humidity_2m,precipitation,dewpoint_2m,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,shortwave_radiation,evapotranspiration,vapour_pressure_deficit
2023-01-01T00:00,23.8,54,0.0,14.0,962.5,73,3.8,41,26.0,0.044,0.311,0.0,,1.35
2023-01-01T01:00,22.8,54,0.0,13.0,962.0,98,9.8,73,25.1,0.044,0.311,0.0,,1.27
2023-01-01T02:00,21.7,59,0.0,13.3,961.5,96,8.1,58,24.3,0.044,0.311,0.0,,1.07
2023-01-01T03:00,21.5,60,0.0,13.5,961.5,96,2.5,315,23.4,0.044,0.311,0.0,,1.01
2023-01-01T04:00,20.4,66,0.0,14.0,961.5,95,3.7,259,22.7,0.044,0.311,0.0,,0.8
2023-01-01T05:00,21.3,60,0.0,13.3,962.5,69,1.1,180,23.2,0.04,0.31,0.0,,1.0
2023-01-01T06:00,19.7,67,0.0,13.4,963.1,26,6.4,297,22.5,0.04,0.31,0.0,,0.76
2023-01-01T07:00,19.9,64,0.0,12.8,963.9,60,7.1,319,22.1,0.04,0.31,12.0,,0.84
2023-01-01T08:00,21.7,57,0.0,12.8,964.7,5,3.7,349,23.0,0.04,0.31,150.0,,1.11
2023-01-01T09:00,24.4,48,0.0,12.7,965.7,0,0.8,297,25.5,0.04,0.31,353.0,,1.58
2023-01-01T10:00,26.9,41,0.0,12.6,965.8,0,1.8,180,29.1,0.04,0.31,538.0,,2.08
2023-01-01T11:00,28.8,37,0.0,12.6,965.3,0,1.3,124,33.0,0.04,0.31,674.0,,2.49
2023-01-01T12:00,29.9,33,0.0,12.0,964.3,0,1.9,248,36.5,0.04,0.31,745.0,,2.81
2023-01-01T13:00,30.7,31,0.0,11.4,962.8,0,3.6,264,39.3,0.039,0.31,745.0,,3.06
2023-01-01T14:00,31.2,29,0.0,11.0,961.8,19,4.1,255,40.9,0.039,0.31,675.0,,3.24
2023-01-01T15:00,31.4,28,0.0,10.6,961.0,0,4.0,260,41.4,0.039,0.31,540.0,,3.32
2023-01-01T16:00,31.4,27,0.0,10.4,960.8,0,4.0,260,40.6,0.039,0.31,354.0,,3.34
2023-01-01T17:00,30.5,32,0.0,11.9,961.4,0,6.9,223,38.5,0.039,0.31,150.0,,2.96
2023-01-01T18:00,29.6,34,0.0,12.0,962.1,0,9.7,225,35.9,0.039,0.31,12.0,,2.74
2023-01-01T19:00,28.6,36,0.0,12.0,962.9,0,10.2,247,33.7,0.039,0.31,0.0,,2.52
2023-01-01T20:00,27.4,37,0.0,11.4,963.5,0,9.0,270,31.8,0.039,0.31,0.0,,2.31
2023-01-01T21:00,26.9,37,0.0,10.9,963.6,0,8.8,305,30.3,0.039,0.31,0.0,,2.23
