timestamp,farm_id,water_storage,release_rate,remaining_capacity,status
2026-01-01 00:00:00,F0229,73.86,0.32,63.94,Healthy
2026-01-01 00:05:00,F0090,97.16,3.45,73.65,Critical
2026-01-01 00:10:00,F0518,54.83,0.34,42.19,Critical
2026-01-01 00:15:00,F0559,65.92,1.15,2.65,Low
2026-01-01 00:20:00,F0007,85.14,3.03,22.04,Healthy
2026-01-01 00:25:00,F0981,74.5,1.83,69.81,Low
2026-01-01 00:30:00,F0353,42.45,2.02,10.22,Critical
2026-01-01 00:35:00,F0128,60.24,0.41,26.45,Low
2026-01-01 00:40:00,F0907,65.79,1.61,7.88,Low
2026-01-01 00:45:00,F0234,59.68,3.58,57.74,Low
2026-01-01 00:50:00,F0390,99.8,4.31,98.52,Low
2026-01-01 00:55:00,F0364,54.23,4.2,45.34,Healthy
2026-01-01 01:00:00,F0074,89.56,3.57,67.02,Critical
2026-01-01 01:05:00,F0474,72.44,2.76,63.5,Low
2026-01-01 01:10:00,F0225,77.23,4.64,26.99,Critical
2026-01-01 01:15:00,F0842,36.21,3.89,32.43,Healthy
2026-01-01 01:20:00,F0936,81.79,2.13,80.5,Critical
2026-01-01 01:25:00,F0406,95.74,1.71,87.64,Critical
2026-01-01 01:30:00,F0575,59.24,1.47,45.89,Critical
2026-01-01 01:35:00,F0409,92.47,3.01,26.27,Low
2026-01-01 01:40:00,F0094,61.71,4.99,21.93,Healthy
2026-01-01 01:45:00,F0697,88.33,0.93,86.11,Low
2026-01-01 01:50:00,F0480,83.69,2.05,59.64,Critical
2026-01-01 01:55:00,F0697,95.69,2.86,25.14,Critical
2026-01-01 02:00:00,F0788,77.94,4.45,11.46,Critical
2026-01-01 02:05:00,F0004,44.46,1.61,34.02,Critical
2026-01-01 02:10:00,F0183,93.8,1.46,87.59,Critical
2026-01-01 02:15:00,F0655,93.87,4.38,91.26,Critical
2026-01-01 02:20:00,F0553,90.71,0.93,60.9,Critical
2026-01-01 02:25:00,F0115,95.83,3.07,91.85,Low
2026-01-01 02:30:00,F0060,91.6,4.19,87.87,Healthy
2026-01-01 02:35:00,F0498,88.84,4.75,87.8,Healthy
2026-01-01 02:40:00,F0676,98.08,2.76,97.8,Low
2026-01-01 02:45:00,F0622,97.49,0.99,94.68,Low
2026-01-01 02:50:00,F0707,99.13,4.66,96.44,Healthy
2026-01-01 02:55:00,F0383,90.57,2.12,71.29,Low
2026-01-01 03:00:00,F0066,92.45,2.37,89.96,Low
2026-01-01 03:05:00,F0008,59.71,2.86,2.1,Healthy
2026-01-01 03:10:00,F0033,72.75,0.48,70.78,Low
2026-01-01 03:15:00,F0220,69.24,1.34,7.09,Critical
2026-01-01 03:20:00,F0485,62.78,4.69,13.23,Healthy
2026-01-01 03:25:00,F0100,82.56,4.08,78.46,Critical
2026-01-01 03:30:00,F0747,69.68,2.23,43.11,Healthy
2026-01-01 03:35:00,F0413,70.55,4.92,67.34,Critical
2026-01-01 03:40:00,F0195,50.36,4.34,33.93,Critical
2026-01-01 03:45:00,F0256,60.22,2.23,44.86,Healthy
2026-01-01 03:50:00,F0052,74.96,4.33,44.31,Critical
2026-01-01 03:55:00,F0949,100.0,4.21,99.93,Healthy
2026-01-01 04:00:00,F0411,34.45,2.53,16.63,Healthy
2026-01-01 04:05:00,F0949,49.08,0.21,16.46,Low
2026-01-01 04:10:00,F0803,80.74,3.54,28.52,Critical
2026-01-01 04:15:00,F0223,72.61,2.54,66.19,Healthy
2026-01-01 04:20:00,F0059,89.39,2.8,57.92,Healthy
2026-01-01 04:25:00,F0162,93.88,2.61,58.42,Healthy
2026-01-01 04:30:00,F0610,96.81,0.58,96.08,Healthy
2026-01-01 04:35:00,F0912,71.41,1.33,67.52,Critical
2026-01-01 04:40:00,F0430,71.31,3.05,24.62,Critical
2026-01-01 04:45:00,F0210,97.28,2.71,58.37,Critical
2026-01-01 04:50:00,F0688,82.85,1.35,71.62,Critical
2026-01-01 04:55:00,F0075,82.63,1.72,30.0,Healthy
2026-01-01 05:00:00,F0076,99.79,4.99,45.83,Critical
2026-01-01 05:05:00,F0903,94.75,1.47,21.32,Healthy
2026-01-01 05:10:00,F0854,89.83,1.97,87.93,Critical
2026-01-01 05:15:00,F0670,99.62,3.14,70.35,Critical
2026-01-01 05:20:00,F0680,30.48,4.12,0.78,Healthy
2026-01-01 05:25:00,F0110,94.6,0.84,93.89,Critical
2026-01-01 05:30:00,F0735,82.34,1.51,55.32,Low
2026-01-01 05:35:00,F0501,41.38,3.24,20.36,Low
2026-01-01 05:40:00,F0434,91.4,4.26,90.53,Low
2026-01-01 05:45:00,F0269,16.92,1.8,4.41,Healthy
2026-01-01 05:50:00,F0010,85.19,2.85,74.12,Healthy
2026-01-01 05:55:00,F0559,91.12,4.44,7.52,Healthy
2026-01-01 06:00:00,F0131,85.91,3.0,83.46,Healthy
2026-01-01 06:05:00,F0882,85.9,4.52,30.83,Healthy
2026-01-01 06:10:00,F0106,92.41,1.21,89.89,Low
2026-01-01 06:15:00,F0636,86.95,4.44,78.01,Critical
2026-01-01 06:20:00,F1000,88.55,4.66,15.46,Healthy
2026-01-01 06:25:00,F0341,96.88,0.32,88.14,Low
2026-01-01 06:30:00,F0274,96.26,4.35,80.22,Healthy
2026-01-01 06:35:00,F0880,97.28,0.72,78.74,Low
2026-01-01 06:40:00,F0313,58.03,4.12,22.24,Healthy
2026-01-01 06:45:00,F0286,53.25,3.37,22.29,Healthy
2026-01-01 06:50:00,F0410,98.81,1.54,96.69,Critical
2026-01-01 06:55:00,F0119,99.89,2.77,98.11,Low
2026-01-01 07:00:00,F0112,39.67,4.82,17.86,Critical
2026-01-01 07:05:00,F0621,61.2,3.7,43.46,Critical
2026-01-01 07:10:00,F0046,28.37,4.52,11.56,Critical
2026-01-01 07:15:00,F0704,89.09,2.7,43.61,Critical
2026-01-01 07:20:00,F0442,95.21,3.74,94.03,Healthy
2026-01-01 07:25:00,F0680,98.07,4.62,94.89,Healthy
2026-01-01 07:30:00,F0419,80.65,1.64,71.98,Low
2026-01-01 07:35:00,F0431,47.85,1.62,40.24,Critical
2026-01-01 07:40:00,F0631,99.42,3.45,94.04,Critical
2026-01-01 07:45:00,F0294,30.12,2.83,30.09,Healthy
2026-01-01 07:50:00,F0477,80.31,2.98,42.99,Low
2026-01-01 07:55:00,F0923,70.61,1.23,44.22,Critical
2026-01-01 08:00:00,F0649,59.77,0.61,16.97,Critical
2026-01-01 08:05:00,F0689,83.46,4.13,33.52,Low
2026-01-01 08:10:00,F0251,24.35,1.16,22.46,Low
2026-01-01 08:15:00,F0908,78.83,3.89,61.13,Critical
2026-01-01 08:20:00,F0410,73.86,3.65,57.57,Healthy
2026-01-01 08:25:00,F0882,90.85,3.5,14.76,Healthy
2026-01-01 08:30:00,F0713,95.66,1.25,77.84,Critical
2026-01-01 08:35:00,F0125,95.58,2.88,46.45,Low
2026-01-01 08:40:00,F0573,59.36,2.43,13.33,Critical
2026-01-01 08:45:00,F0835,61.94,3.83,31.73,Critical
2026-01-01 08:50:00,F0457,98.99,2.25,89.2,Healthy
2026-01-01 08:55:00,F0254,81.01,2.48,74.37,Critical
2026-01-01 09:00:00,F0245,62.75,3.93,27.73,Low
2026-01-01 09:05:00,F0344,57.12,3.63,43.99,Low
2026-01-01 09:10:00,F0393,90.91,0.59,89.3,Critical
2026-01-01 09:15:00,F0339,50.43,1.23,15.28,Critical
2026-01-01 09:20:00,F0399,91.07,0.5,46.59,Critical
2026-01-01 09:25:00,F0590,99.36,0.29,94.61,Low
2026-01-01 09:30:00,F0400,63.32,4.73,47.7,Low
2026-01-01 09:35:00,F0920,90.76,3.73,53.82,Healthy
2026-01-01 09:40:00,F0399,73.68,1.51,48.82,Low
2026-01-01 09:45:00,F0861,90.87,4.03,66.89,Low
2026-01-01 09:50:00,F0929,96.25,4.91,91.95,Low
2026-01-01 09:55:00,F0439,62.62,3.38,59.19,Healthy
2026-01-01 10:00:00,F0336,90.15,1.07,86.69,Healthy
2026-01-01 10:05:00,F0285,93.44,1.82,45.47,Low
2026-01-01 10:10:00,F0553,26.68,0.59,25.23,Healthy
2026-01-01 10:15:00,F0800,100.0,1.88,99.99,Critical
2026-01-01 10:20:00,F0860,27.76,0.35,4.03,Healthy
2026-01-01 10:25:00,F0118,80.06,1.35,62.13,Critical
2026-01-01 10:30:00,F0378,96.12,2.43,94.78,Healthy
2026-01-01 10:35:00,F0797,88.9,4.83,60.59,Healthy
2026-01-01 10:40:00,F0320,96.56,0.72,96.47,Critical
2026-01-01 10:45:00,F0733,80.53,4.8,67.73,Healthy
2026-01-01 10:50:00,F0105,65.56,3.51,7.6,Critical
2026-01-01 10:55:00,F0124,90.91,4.28,77.25,Critical
2026-01-01 11:00:00,F0380,87.57,1.87,78.26,Healthy
2026-01-01 11:05:00,F0843,92.57,1.84,50.6,Low
2026-01-01 11:10:00,F0849,67.4,4.81,10.55,Low
2026-01-01 11:15:00,F0989,92.21,2.29,70.73,Critical
2026-01-01 11:20:00,F0496,66.29,4.08,27.01,Low
2026-01-01 11:25:00,F0873,58.71,3.71,43.56,Healthy
2026-01-01 11:30:00,F0250,98.0,0.62,83.07,Low
2026-01-01 11:35:00,F0507,71.45,3.41,56.98,Low
2026-01-01 11:40:00,F0349,83.46,1.22,18.18,Low
2026-01-01 11:45:00,F0011,91.34,3.57,88.03,Critical
2026-01-01 11:50:00,F0501,98.55,0.61,94.81,Critical
2026-01-01 11:55:00,F0503,91.44,3.51,75.82,Low
2026-01-01 12:00:00,F0709,83.88,0.65,79.29,Healthy
2026-01-01 12:05:00,F0544,63.45,2.99,30.62,Low
2026-01-01 12:10:00,F0720,61.55,3.78,42.55,Low
2026-01-01 12:15:00,F0198,35.89,1.41,27.09,Low
2026-01-01 12:20:00,F0190,79.06,2.77,11.96,Healthy
2026-01-01 12:25:00,F0779,78.42,2.52,21.64,Critical
2026-01-01 12:30:00,F0304,93.25,4.91,59.68,Healthy
2026-01-01 12:35:00,F0130,81.34,1.65,36.09,Low
2026-01-01 12:40:00,F0967,32.43,0.46,4.55,Healthy
2026-01-01 12:45:00,F0013,67.5,3.81,63.79,Critical
2026-01-01 12:50:00,F0989,52.81,2.5,28.43,Healthy
2026-01-01 12:55:00,F0067,33.78,4.34,25.25,Low
2026-01-01 13:00:00,F0156,84.06,2.97,49.17,Healthy
2026-01-01 13:05:00,F0255,82.72,4.76,81.11,Healthy
2026-01-01 13:10:00,F0634,82.15,2.2,55.81,Healthy
2026-01-01 13:15:00,F0305,97.95,2.03,77.57,Critical
2026-01-01 13:20:00,F0625,99.62,1.67,99.0,Critical
2026-01-01 13:25:00,F0271,66.27,3.86,9.92,Critical
2026-01-01 13:30:00,F0161,58.84,1.35,8.12,Healthy
2026-01-01 13:35:00,F0034,68.65,3.51,40.85,Healthy
2026-01-01 13:40:00,F0073,90.01,1.56,28.81,Critical
2026-01-01 13:45:00,F0604,84.0,1.47,23.34,Critical
2026-01-01 13:50:00,F0231,82.64,1.15,80.39,Critical
2026-01-01 13:55:00,F0062,27.0,1.48,14.9,Healthy
2026-01-01 14:00:00,F0944,96.35,3.06,79.26,Low
2026-01-01 14:05:00,F0413,60.97,2.45,43.92,Low
2026-01-01 14:10:00,F0041,54.07,2.57,50.05,Low
2026-01-01 14:15:00,F0235,74.14,3.1,73.45,Critical
2026-01-01 14:20:00,F0784,99.19,2.96,83.6,Critical
2026-01-01 14:25:00,F0180,95.77,2.97,82.14,Low
2026-01-01 14:30:00,F0600,65.28,2.32,51.9,Low
2026-01-01 14:35:00,F0357,66.81,2.56,63.48,Low
2026-01-01 14:40:00,F0338,90.52,3.42,33.33,Low
2026-01-01 14:45:00,F0834,98.32,1.58,69.37,Critical
2026-01-01 14:50:00,F0119,27.98,0.62,3.67,Low
2026-01-01 14:55:00,F0891,86.51,4.16,86.49,Critical
2026-01-01 15:00:00,F0638,74.09,0.46,46.2,Low
2026-01-01 15:05:00,F0563,70.17,3.85,62.54,Healthy
2026-01-01 15:10:00,F0125,97.82,2.3,92.77,Healthy
2026-01-01 15:15:00,F0163,97.95,3.12,97.31,Low
2026-01-01 15:20:00,F0862,59.27,2.85,55.08,Healthy
2026-01-01 15:25:00,F0511,90.96,0.76,46.14,Critical
2026-01-01 15:30:00,F0495,58.61,3.59,29.19,Low
2026-01-01 15:35:00,F0944,53.38,2.85,24.37,Critical
2026-01-01 15:40:00,F0283,93.31,4.42,50.82,Low
2026-01-01 15:45:00,F0003,51.63,3.98,33.99,Low
2026-01-01 15:50:00,F0676,88.49,4.22,72.61,Low
2026-01-01 15:55:00,F0341,93.05,2.34,86.53,Critical
2026-01-01 16:00:00,F0891,98.41,2.01,76.29,Healthy
2026-01-01 16:05:00,F0877,98.82,1.35,98.08,Low
2026-01-01 16:10:00,F0831,71.81,3.77,4.36,Low
2026-01-01 16:15:00,F0156,89.0,3.39,38.61,Low
2026-01-01 16:20:00,F0340,99.88,0.81,96.48,Healthy
