timestamp,farm_id,temperature,humidity,soil_moisture,soil_temperature,light_intensity,battery_level
2026-01-01 00:00:00,F0655,20.67,78.2,33.37,18.21,14434,74.14
2026-01-01 00:05:00,F0914,31.09,68.38,17.38,17.15,31495,60.43
2026-01-01 00:10:00,F0028,31.47,76.54,67.6,24.65,59878,67.14
2026-01-01 00:15:00,F0829,38.86,79.32,26.97,24.72,37421,32.44
2026-01-01 00:20:00,F0981,36.32,36.64,43.49,23.26,46082,68.3
2026-01-01 00:25:00,F0827,19.04,59.86,24.36,36.21,11328,64.16
2026-01-01 00:30:00,F0850,33.09,87.55,42.12,19.42,10116,23.67
2026-01-01 00:35:00,F0234,36.55,94.04,79.15,34.93,50823,42.24
2026-01-01 00:40:00,F0651,38.02,40.57,41.65,30.41,92988,94.93
2026-01-01 00:45:00,F0664,19.71,71.27,55.06,20.63,61589,50.36
2026-01-01 00:50:00,F0948,33.36,66.2,66.35,34.39,8331,38.32
2026-01-01 00:55:00,F0033,37.32,56.08,19.96,36.0,75341,90.11
2026-01-01 01:00:00,F0323,23.1,62.45,81.35,29.79,19726,41.19
2026-01-01 01:05:00,F0253,35.88,65.03,71.03,24.85,77484,51.95
2026-01-01 01:10:00,F0225,41.94,38.99,52.01,32.38,15371,32.23
2026-01-01 01:15:00,F0164,37.01,57.44,19.76,23.78,62348,62.33
2026-01-01 01:20:00,F0995,31.28,91.26,66.02,17.63,71381,80.07
2026-01-01 01:25:00,F0788,33.38,37.25,47.61,25.44,95646,90.07
2026-01-01 01:30:00,F0270,41.33,79.53,53.08,17.45,82959,43.88
2026-01-01 01:35:00,F0655,30.18,42.93,43.04,18.72,70514,93.48
2026-01-01 01:40:00,F0614,25.78,31.27,84.68,35.21,41306,39.16
2026-01-01 01:45:00,F0247,39.07,91.55,21.42,26.18,10071,98.24
2026-01-01 01:50:00,F0546,36.38,38.35,50.65,27.65,35741,62.21
2026-01-01 01:55:00,F0622,28.16,43.77,55.45,31.79,27365,77.04
2026-01-01 02:00:00,F0409,41.88,72.24,47.86,26.9,16860,39.83
2026-01-01 02:05:00,F0066,26.11,68.24,32.26,20.06,10305,76.63
2026-01-01 02:10:00,F0061,23.49,88.85,79.47,16.63,32195,42.28
2026-01-01 02:15:00,F0498,23.14,38.6,85.16,28.13,62953,39.44
2026-01-01 02:20:00,F0485,37.38,42.38,22.27,24.91,56519,52.89
2026-01-01 02:25:00,F0885,35.5,73.77,88.81,17.26,53772,78.26
2026-01-01 02:30:00,F0820,38.68,46.16,29.27,25.32,56296,34.68
2026-01-01 02:35:00,F0474,24.0,90.01,48.23,34.81,73132,27.83
2026-01-01 02:40:00,F0668,41.98,84.34,87.67,36.31,31982,33.3
2026-01-01 02:45:00,F0498,29.55,86.2,82.68,18.79,1282,98.82
2026-01-01 02:50:00,F0272,40.24,81.03,36.39,31.02,96748,99.63
2026-01-01 02:55:00,F0570,33.88,61.63,29.24,20.01,8665,66.33
2026-01-01 03:00:00,F0556,19.46,50.38,18.76,25.97,70615,32.59
2026-01-01 03:05:00,F0984,30.19,85.34,20.14,16.56,31828,52.3
2026-01-01 03:10:00,F0965,39.37,46.0,59.59,29.25,55948,72.59
2026-01-01 03:15:00,F0579,30.55,90.76,30.32,31.47,32285,41.25
2026-01-01 03:20:00,F0135,34.12,49.5,38.71,32.29,10508,20.75
