farm_id,field_id,latitude,longitude,area_acres,soil_type,crop_type,installation_date
F0001,FD0001,19.336561,72.700086,4.49,Sandy,Wheat,2026-01-27
F0002,FD0002,19.560197,79.637437,1.76,Silty,Cotton,2026-01-08
F0003,FD0003,16.062171,74.361287,9.23,Black,Wheat,2026-06-16
F0004,FD0004,19.70795,75.856159,7.01,Loamy,Cotton,2026-02-10
F0005,FD0005,19.688836,75.222004,2.75,Loamy,Cotton,2026-01-24
F0006,FD0006,17.779564,75.371835,5.49,Loamy,Cotton,2026-04-28
F0007,FD0007,18.717369,80.284926,5.99,Black,Rice,2026-06-10
F0008,FD0008,19.211119,79.393655,8.87,Red,Cotton,2026-01-12
F0009,FD0009,19.46758,78.684547,14.79,Sandy,Cotton,2026-04-08
F0010,FD0010,17.167842,77.585476,5.79,Loamy,Rice,2026-02-23
F0011,FD0011,19.521051,78.114563,10.41,Clay,Sugarcane,2026-06-12
F0012,FD0012,16.526832,78.333014,2.87,Silty,Rice,2026-06-13
F0013,FD0013,19.628972,74.256921,5.2,Clay,Wheat,2026-01-09
F0014,FD0014,20.330275,75.709318,1.46,Black,Soybean,2026-03-22
F0015,FD0015,16.775759,76.49385,13.33,Red,Maize,2026-02-06
F0016,FD0016,17.089281,74.47302,8.64,Loamy,Soybean,2026-05-30
F0017,FD0017,18.070603,77.168263,5.75,Sandy,Sugarcane,2026-05-07
F0018,FD0018,16.045456,72.876931,2.09,Red,Wheat,2026-06-24
F0019,FD0019,18.03296,73.008222,6.03,Silty,Sugarcane,2026-03-06
F0020,FD0020,21.32647,79.386238,0.67,Red,Cotton,2026-06-24
F0021,FD0021,20.808731,78.507022,11.64,Loamy,Cotton,2026-03-17
F0022,FD0022,18.108592,76.12979,14.33,Red,Rice,2026-05-09
F0023,FD0023,20.071773,76.561453,2.04,Red,Rice,2026-06-13
F0024,FD0024,18.545977,74.091289,5.92,Sandy,Sugarcane,2026-05-16
F0025,FD0025,21.010961,77.291557,7.58,Clay,Rice,2026-03-20
F0026,FD0026,16.936714,74.426973,8.73,Clay,Cotton,2026-05-05
