timestamp,farm_id,mulch_type,degradation_percent,evaporation_reduction,temperature_reduction,status
2026-01-01 00:00:00,F0229,Plastic,63.94,11.5,2.93,Damaged
2026-01-01 00:05:00,F0605,Organic,10.25,54.44,4.82,Healthy
2026-01-01 00:10:00,F0028,Biodegradable,2.98,23.12,4.54,Healthy
2026-01-01 00:15:00,F0460,Biodegradable,71.6,52.08,3.94,Needs Replacement
2026-01-01 00:20:00,F0715,Organic,80.94,10.39,6.64,Needs Replacement
2026-01-01 00:25:00,F0105,Plastic,27.79,22.92,6.34,Needs Replacement
2026-01-01 00:30:00,F0827,Plastic,9.67,60.85,5.23,Damaged
2026-01-01 00:35:00,F0081,Biodegradable,45.94,17.49,7.46,Needs Replacement
2026-01-01 00:40:00,F0592,Plastic,82.94,47.11,7.03,Damaged
2026-01-01 00:45:00,F0082,Plastic,6.96,49.68,6.41,Healthy
2026-01-01 00:50:00,F0167,Organic,38.01,37.2,6.84,Needs Replacement
2026-01-01 00:55:00,F0664,Plastic,20.95,26.02,7.56,Damaged
2026-01-01 01:00:00,F0474,Organic,63.5,42.05,2.71,Needs Replacement
2026-01-01 01:05:00,F0702,Organic,98.95,48.4,4.9,Healthy
2026-01-01 01:10:00,F0275,Plastic,22.9,11.93,3.21,Healthy
2026-01-01 01:15:00,F0218,Biodegradable,91.31,44.03,6.03,Needs Replacement
2026-01-01 01:20:00,F0272,Plastic,39.56,64.87,4.21,Healthy
2026-01-01 01:25:00,F0439,Biodegradable,74.5,42.34,6.23,Needs Replacement
2026-01-01 01:30:00,F0506,Plastic,36.2,69.84,1.97,Healthy
2026-01-01 01:35:00,F0697,Organic,86.11,19.17,2.12,Damaged
2026-01-01 01:40:00,F0542,Organic,6.35,32.9,7.97,Damaged
2026-01-01 01:45:00,F0699,Biodegradable,86.08,10.69,6.05,Needs Replacement
2026-01-01 01:50:00,F0162,Organic,76.86,30.41,3.05,Healthy
2026-01-01 01:55:00,F0513,Plastic,95.38,62.55,2.84,Damaged
2026-01-01 02:00:00,F0655,Biodegradable,91.26,62.23,3.09,Damaged
2026-01-01 02:05:00,F0977,Biodegradable,19.89,32.43,2.13,Healthy
2026-01-01 02:10:00,F0372,Organic,59.89,39.32,1.78,Healthy
2026-01-01 02:15:00,F0088,Biodegradable,5.79,62.68,7.63,Needs Replacement
2026-01-01 02:20:00,F0129,Plastic,81.6,68.68,4.73,Damaged
2026-01-01 02:25:00,F0894,Biodegradable,47.53,42.99,2.86,Needs Replacement
2026-01-01 02:30:00,F0707,Plastic,96.44,65.73,6.29,Damaged
2026-01-01 02:35:00,F0449,Biodegradable,31.17,69.71,5.55,Needs Replacement
2026-01-01 02:40:00,F0603,Biodegradable,12.1,23.48,3.37,Healthy
2026-01-01 02:45:00,F0061,Plastic,58.84,10.43,5.95,Healthy
2026-01-01 02:50:00,F0244,Organic,90.54,61.58,1.5,Damaged
2026-01-01 02:55:00,F0904,Biodegradable,48.54,42.35,6.06,Damaged
2026-01-01 03:00:00,F0195,Plastic,47.27,57.08,6.65,Healthy
